gene_id,sh_ca,sh_cb,sh_cc,sh_tdpa,sh_tdpb,sh_tdpc
ENSG00000116922.14,2,7,4,5,13,10
ENSG00000134690.10,0,0,0,0,1,2
ENSG00000183317.16,7,19,10,13,21,14
ENSG00000185090.14,12,24,21,25,28,40
ENSG00000196449.3,2,12,2,13,14,20
ENSG00000197982.13,14,31,30,48,48,63
ENSG00000188786.9,4,3,5,5,7,12
ENSG00000204084.12,9,6,9,17,19,27
ENSG00000183431.11,37,43,55,63,77,119
ENSG00000183386.9,7,4,4,4,6,12
ENSG00000183520.11,35,51,41,62,85,93
ENSG00000185668.7,37,56,59,41,52,64
ENSG00000116954.7,9,16,26,13,30,27
ENSG00000214114.8,0,0,0,0,1,2
ENSG00000274944.4,0,0,0,1,0,0
ENSG00000131233.9,0,0,0,0,0,0
ENSG00000158315.10,0,0,0,0,0,0
ENSG00000174574.15,39,65,53,76,88,119
ENSG00000168653.10,55,97,77,106,158,218
ENSG00000127603.25,101,140,163,187,299,328
ENSG00000183682.7,0,0,3,0,0,0
ENSG00000090621.13,35,47,42,45,72,78
ENSG00000163909.7,0,0,0,0,0,0
ENSG00000116981.3,0,0,1,0,0,0
ENSG00000116983.12,5,14,14,9,16,16
ENSG00000084072.16,11,9,4,17,23,29
ENSG00000116985.11,0,0,0,1,0,0
ENSG00000198754.5,0,0,0,0,0,0
ENSG00000043514.16,8,13,17,17,22,25
ENSG00000116990.10,4,3,2,5,3,4
ENSG00000168389.17,3,5,3,1,5,5
ENSG00000131236.16,77,88,77,91,120,168
ENSG00000131238.17,4,22,17,15,36,29
ENSG00000117000.8,20,33,21,24,41,41
ENSG00000188800.5,0,0,0,0,0,0
ENSG00000084073.8,7,13,13,15,29,28
ENSG00000049089.14,0,0,0,0,0,0
ENSG00000084070.11,62,68,76,106,140,196
ENSG00000187801.14,7,10,12,7,11,19
ENSG00000187815.9,2,4,5,1,4,7
ENSG00000164002.11,2,6,4,10,13,19
ENSG00000117010.16,0,2,1,2,2,3
ENSG00000117016.9,71,74,85,84,127,124
ENSG00000066136.20,28,48,33,44,71,70
ENSG00000117013.15,0,1,0,1,2,1
ENSG00000179862.6,0,5,1,1,1,5
ENSG00000171793.14,22,33,38,48,64,78
ENSG00000171790.15,1,1,1,4,0,5
ENSG00000010803.16,10,20,17,22,49,38
ENSG00000204060.7,2,6,3,4,4,9
ENSG00000127129.9,0,0,0,1,0,0
ENSG00000127124.15,7,20,12,16,17,16
ENSG00000284895.1,0,0,1,1,1,0
ENSG00000044012.3,0,0,0,0,0,0
ENSG00000197273.3,0,0,0,0,0,0
ENSG00000198815.8,21,57,44,48,55,74
ENSG00000177181.14,14,8,12,14,14,14
ENSG00000066185.12,0,0,0,1,2,0
ENSG00000127125.8,16,27,23,17,36,27
ENSG00000186409.15,3,6,5,6,13,17
ENSG00000171960.10,4,5,10,8,15,21
ENSG00000065978.18,65,84,77,92,123,170
ENSG00000164007.10,0,0,0,0,0,0
ENSG00000117385.15,10,14,9,8,28,21
ENSG00000164008.15,1,2,5,1,4,10
ENSG00000283580.3,0,0,0,2,1,1
ENSG00000274386.5,0,0,0,1,1,0
ENSG00000177868.11,13,26,32,33,30,49
ENSG00000164010.14,0,2,1,1,3,1
ENSG00000164011.17,2,7,6,6,16,23
ENSG00000117394.21,8,23,15,28,46,49
ENSG00000186973.10,0,0,0,1,0,0
ENSG00000117395.12,42,47,61,62,82,98
ENSG00000243710.7,0,1,2,5,4,3
ENSG00000179178.10,0,0,0,0,0,0
ENSG00000253313.5,0,0,0,0,0,0
ENSG00000066056.13,0,1,0,2,1,0
ENSG00000117400.17,0,0,0,0,0,2
ENSG00000117399.13,0,1,0,1,0,1
ENSG00000066322.14,3,2,3,3,3,4
ENSG00000159479.16,20,35,21,36,40,51
ENSG00000198198.16,18,29,20,27,44,59
ENSG00000178922.16,8,6,10,11,21,26
ENSG00000142949.16,35,52,36,63,106,121
ENSG00000284989.1,0,0,0,0,0,0
ENSG00000066135.12,73,77,58,73,103,133
ENSG00000126091.20,2,5,5,9,5,7
ENSG00000117407.16,1,1,1,0,0,1
ENSG00000117408.10,15,23,25,58,78,98
ENSG00000132768.13,6,12,11,12,10,27
ENSG00000117410.13,52,101,83,122,199,227
